ip,port
142.248.218.27,2053
23.254.178.168,8443
2607:9d00:2000:1b4::7b9:b7bc,8443
192.220.28.221,2083
2a09:bac5:6368:281e::3ff:70,2083
142.248.218.195,2053
142.248.218.178,2053
142.248.218.12,2053
142.248.218.203,2053
142.248.218.135,2053
192.204.58.167,8443
142.248.218.151,2053
142.248.218.162,2053
142.248.218.223,2053
93.179.113.25,8443
192.210.217.68,2087
142.248.218.224,2053
202.91.33.211,443
2a14:640:3:5345::1,443
147.224.59.149,443
2603:c024:c013:f588:0:7f29:cb0f:8c06,443
144.225.124.181,8443
142.248.218.173,2053
142.248.218.112,2053
91.210.165.19,8443
2a0a:8c43::80,8443
38.146.25.162,2053
142.248.218.149,2053
142.248.218.150,2053
195.123.240.176,443
2a05:9402:0:8:d::a,443
142.248.218.179,2053
142.248.218.127,2053
142.248.218.129,2053
142.248.218.134,2053
154.9.227.100,443
142.248.218.19,2053
142.248.218.199,2053
142.248.218.146,2053
142.248.218.186,2053
142.248.218.25,2053
142.248.218.13,2053
142.248.218.172,2053
38.244.31.27,443
44.32.235.23,443
104.202.107.113,8443
2001:57a:e200:e501::2e,8443
38.97.249.166,8443
142.248.218.26,2053
142.248.218.201,2053
142.248.218.189,2053
142.248.218.211,2053
94.131.18.145,443
2a0a:8c43::2ef,443
198.52.244.111,443
142.248.218.196,2053
23.80.83.219,2053
2607:f5b4:88:10a:1c00:eeff:fe00:aaf,2053
38.60.89.234,8443
2602:fce1:44f:134c::,8443
